"","genre","artist_name","track_name","track_id","popularity","acousticness","danceability","duration_ms","energy","instrumentalness","key","liveness","loudness","mode","speechiness","tempo","time_signature","valence"
"1","Alternative","Volbeat","We","0ceguxJxVVbXjGQ4oeRtNV",51,0.00318,0.421,226400,0.972,2.98e-06,"D#",0.187,-2.658,"Major",0.106,135.006,"4/4",0.366
"2","Hip-Hop","Tyga","Faithful (feat. Tory Lanez)","3eGIOwl7X37VcP8Sb4S3N7",56,0.153,0.731,246114,0.488,4.44e-06,"A#",0.0634,-7.256,"Minor",0.0538,93.981,"4/4",0.465
"3","Jazz","Brian Culbertson","Waiting For You","6UUhuJmw4BVvwVBSp4b4Jp",29,0.302,0.613,278920,0.469,0.856,"F",0.102,-10.241,"Major",0.0385,75.003,"4/4",0.378
"4","Classical","Howard Shore","The Foot Of Orthanc","5H1MVcElNau4Odi2inVcsL",40,0.722,0.142,284987,0.136,0.909,"D",0.311,-23.768,"Major",0.0362,84.001,"3/4",0.0562
"5","Dance","Ariana Grande","Right There","3yiopxxeHuwcpAg4e57Zjt",55,0.115,0.605,247080,0.838,0,"G",0.113,-3.084,"Major",0.125,156.066,"4/4",0.533
"6","Movie","Scatman Crothers","I'm in Love Again","2rtQR0YsmHXpXYvNk9uQmE",15,0.437,0.599,149107,0.307,0,"A",0.187,-13.507,"Minor",0.057,136.964,"4/4",0.78
"7","Alternative","Papa Roach","Still Swingin'","7p0sSbjOo0c0edsfGapmHg",51,0.000105,0.577,203293,0.888,8.95e-05,"C#",0.135,-6.323,"Major",0.061,139.028,"4/4",0.68
"8","Rock","Slash","Sweet Child O' Mine - Acoustic","1Qq7Tq8zZHuelGv9LQE2Yy",47,0.406,0.566,396968,0.538,0.000497,"F#",0.979,-5.729,"Major",0.0346,121.154,"4/4",0.315
"9","Electronic","Zomboy","Cage the Rage","5BRxDgfgxYNNsjhguxDgmB",27,0.000599,0.346,208028,0.989,0.0306,"C#",0.192,-3.913,"Major",0.0882,139.878,"4/4",0.467
"10","Rock","Mudvayne","Dig","7vrLphPq4yjaX7jiDdd2Nc",62,9.62e-05,0.623,162293,0.983,0.0617,"B",0.261,-3.548,"Minor",0.151,134.975,"4/4",0.271
"11","World","Ryuichi Sakamoto","A Flower Is Not A Flower","6QFgVI000AXupkpkwG45Js",25,0.992,0.563,394320,0.00655,0.914,"D",0.0703,-25.432,"Minor",0.0979,77.94,"4/4",0.0563
"12","Electronic","Rusko","Massive","5UsoczivjjR5frkZvxo91z",26,0.0219,0.764,252000,0.918,0.000382,"B",0.309,-4.119,"Major",0.174,140.041,"4/4",0.139
"13","Comedy","Nick Di Paolo","Black Moms","3q4pnNTkB11nEjUXK6r87C",15,0.745,0.666,154847,0.67,0,"D",0.235,-11.295,"Major",0.938,126.616,"1/4",0.229
"14","Folk","Bon Iver","Rosyln","4k7x3QKrc3h3U0Viqk0uop",61,0.971,0.329,289560,0.277,0.024,"A#",0.0971,-13.111,"Minor",0.0302,159.719,"3/4",0.121
"15","Electronic","Be Svendsen","Circle","4Bh4qqa4CUe0lmZGbBYZNC",41,0.00445,0.711,372639,0.727,0.533,"D",0.0327,-7.068,"Minor",0.0327,125.009,"4/4",0.571
"16","Alternative","Steve Lacy","Hate CD","6L8EJ6DWUeQ9nsSjGB5KEX",53,0.000916,0.824,160183,0.716,0.0148,"C",0.299,-7.089,"Major",0.0526,107.994,"4/4",0.771
"17","Opera","Richard Wagner","Das Rheingold, Scene IV: Entrance of the Gods into Valhalla (ed. H. Zumpe, L. Stokowski)","581auWI9lt0UmZjehdyOOG",12,0.97,0.0883,494413,0.063,0.9,"C#",0.0646,-20.492,"Major",0.0352,85.207,"5/4",0.0379
"18","Movie","Chantal Goya","Voyage Au Pays Des Étoiles","1SvWW806DwiVFVyDoiIqUp",9,0.598,0.576,258867,0.707,0,"C",0.0513,-5.512,"Major",0.0637,200.14,"4/4",0.905
"19","World","Hillsong UNITED","Prince Of Peace - Live","3EVY5Vm5vjPpUjRQEcpsPE",54,0.494,0.259,491573,0.326,0.00109,"A",0.0903,-11.061,"Major",0.0295,72.968,"4/4",0.0831
"20","Folk","Mt. Joy","Dirty Love","0Mcvsk5uwUwhlJYKydkWla",53,0.595,0.774,164627,0.439,0.00127,"F",0.109,-7.612,"Minor",0.0364,125.085,"4/4",0.661
"21","Blues","Jace Everett","Half Of My Mistakes","56XVpeEADfI4ifqwShH541",21,0.0555,0.684,246360,0.641,0.00833,"F",0.0999,-7.329,"Major",0.0237,104.285,"4/4",0.237
"22","Country","Ronnie Shirley","Drop That Boom","0eaFAAmqEXEKdeOYBnysxk",37,0.0238,0.774,167106,0.781,0,"G#",0.237,-5.2,"Major",0.2,140.152,"4/4",0.612
"23","Comedy","Anjelah Johnson","Nail Salon Repercussions","5gTTXLWkB2CrRdqhxWANse",15,0.901,0.426,176207,0.724,2.03e-05,"G",0.606,-13.355,"Major",0.876,86.568,"3/4",0.0817
