# A tibble: 101 x 4
        p Jackknife Bootstrap Large_sample
    <dbl>     <dbl>     <dbl>        <dbl>
  1 0        0.0313    0.0557        0.378
  2 0.01     0.0338    0.0551        0.361
  3 0.02     0.0369    0.0549        0.345
  4 0.03     0.0406    0.0551        0.330
  5 0.04     0.0448    0.0557        0.316
  6 0.05     0.0495    0.0567        0.304
  7 0.06     0.0548    0.0580        0.293
  8 0.07     0.0606    0.0597        0.283
  9 0.08     0.0670    0.0618        0.274
 10 0.09     0.0739    0.0643        0.266
 11 0.1      0.0813    0.0672        0.260
 12 0.11     0.0893    0.0704        0.255
 13 0.12     0.0978    0.0741        0.251
 14 0.13     0.107     0.0781        0.248
 15 0.14     0.117     0.0825        0.247
 16 0.15     0.127     0.0872        0.246
 17 0.16     0.137     0.0924        0.247
 18 0.17     0.149     0.0979        0.249
 19 0.18     0.161     0.104         0.252
 20 0.19     0.173     0.110         0.257
 21 0.2      0.186     0.117         0.263
 22 0.21     0.199     0.124         0.270
 23 0.22     0.213     0.131         0.278
 24 0.23     0.228     0.139         0.287
 25 0.24     0.243     0.147         0.298
 26 0.25     0.258     0.156         0.309
 27 0.26     0.275     0.151         0.302
 28 0.27     0.291     0.146         0.295
 29 0.28     0.308     0.141         0.289
 30 0.290    0.326     0.137         0.284
 31 0.3      0.345     0.134         0.279
 32 0.31     0.363     0.131         0.275
 33 0.32     0.383     0.128         0.271
 34 0.33     0.403     0.126         0.268
 35 0.34     0.396     0.125         0.266
 36 0.35     0.377     0.124         0.264
 37 0.36     0.357     0.123         0.263
 38 0.37     0.339     0.123         0.262
 39 0.38     0.321     0.124         0.263
 40 0.39     0.303     0.125         0.263
 41 0.4      0.286     0.126         0.265
 42 0.41     0.270     0.128         0.267
 43 0.42     0.254     0.131         0.269
 44 0.43     0.238     0.134         0.272
 45 0.44     0.224     0.137         0.276
 46 0.45     0.209     0.141         0.281
 47 0.46     0.195     0.146         0.286
 48 0.47     0.182     0.151         0.292
 49 0.48     0.169     0.156         0.298
 50 0.49     0.157     0.162         0.305
 51 0.5      0.145     0.169         0.313
 52 0.51     0.134     0.164         0.305
 53 0.52     0.123     0.160         0.299
 54 0.53     0.113     0.156         0.293
 55 0.54     0.104     0.154         0.288
 56 0.55     0.0947    0.152         0.284
 57 0.56     0.0862    0.151         0.280
 58 0.57     0.0782    0.151         0.277
 59 0.580    0.0707    0.151         0.275
 60 0.59     0.0638    0.152         0.273
 61 0.6      0.0574    0.154         0.273
 62 0.61     0.0515    0.157         0.272
 63 0.62     0.0462    0.161         0.273
 64 0.63     0.0413    0.165         0.274
 65 0.64     0.0371    0.170         0.276
 66 0.65     0.0333    0.176         0.279
 67 0.66     0.0301    0.182         0.282
 68 0.67     0.0293    0.190         0.287
 69 0.68     0.0330    0.198         0.291
 70 0.69     0.0375    0.207         0.297
 71 0.7      0.0428    0.216         0.303
 72 0.71     0.0489    0.227         0.310
 73 0.72     0.0558    0.238         0.318
 74 0.73     0.0636    0.250         0.326
 75 0.74     0.0722    0.263         0.335
 76 0.75     0.0815    0.276         0.345
 77 0.76     0.0917    0.264         0.341
 78 0.77     0.103     0.252         0.337
 79 0.78     0.115     0.242         0.335
 80 0.79     0.127     0.232         0.334
 81 0.8      0.141     0.223         0.334
 82 0.81     0.155     0.215         0.335
 83 0.82     0.170     0.208         0.337
 84 0.83     0.186     0.201         0.339
 85 0.84     0.203     0.196         0.343
 86 0.85     0.220     0.191         0.348
 87 0.86     0.238     0.188         0.354
 88 0.87     0.258     0.185         0.361
 89 0.88     0.277     0.183         0.369
 90 0.89     0.298     0.182         0.378
 91 0.9      0.320     0.182         0.388
 92 0.91     0.342     0.183         0.399
 93 0.92     0.365     0.184         0.411
 94 0.93     0.389     0.187         0.424
 95 0.94     0.414     0.190         0.439
 96 0.95     0.440     0.194         0.454
 97 0.96     0.466     0.200         0.470
 98 0.97     0.494     0.206         0.487
 99 0.98     0.522     0.213         0.505
100 0.99     0.551     0.220         0.525
101 1        0.580     0.229         0.545
