[[1]]
[1] -1.01500872 -0.07963674 -0.23298702 -0.81726793  0.77209084

[[2]]
            [,1]        [,2]       [,3]       [,4]
[1,] -0.07963674 -0.23298702 -0.8172679  0.7720908
[2,] -1.01500872 -0.23298702 -0.8172679  0.7720908
[3,] -1.01500872 -0.07963674 -0.8172679  0.7720908
[4,] -1.01500872 -0.07963674 -0.2329870  0.7720908
[5,] -1.01500872 -0.07963674 -0.2329870 -0.8172679

[[3]]
              [,1]        [,2]        [,3]        [,4]        [,5]
  [1,] -0.07963674 -1.01500872 -0.81726793 -1.01500872 -0.07963674
  [2,] -0.81726793  0.77209084 -0.23298702 -0.81726793 -1.01500872
  [3,]  0.77209084 -0.07963674 -1.01500872 -0.23298702 -0.81726793
  [4,]  0.77209084 -0.23298702 -1.01500872 -0.81726793  0.77209084
  [5,] -0.07963674  0.77209084 -1.01500872  0.77209084 -0.23298702
  [6,] -0.23298702 -1.01500872  0.77209084  0.77209084 -0.07963674
  [7,] -0.07963674 -0.81726793  0.77209084 -0.23298702 -0.81726793
  [8,] -0.07963674 -0.81726793 -1.01500872  0.77209084 -0.23298702
  [9,] -0.23298702 -0.07963674  0.77209084 -1.01500872 -1.01500872
 [10,] -0.81726793  0.77209084 -0.07963674 -0.81726793 -0.23298702
 [11,] -0.23298702  0.77209084 -1.01500872 -0.81726793 -0.07963674
 [12,] -0.23298702 -0.81726793  0.77209084 -0.23298702 -1.01500872
 [13,] -0.07963674  0.77209084 -0.81726793 -0.81726793 -0.23298702
 [14,] -0.07963674  0.77209084  0.77209084 -0.23298702 -1.01500872
 [15,]  0.77209084 -0.81726793 -1.01500872  0.77209084 -1.01500872
 [16,] -0.23298702 -0.23298702 -0.07963674  0.77209084 -0.07963674
 [17,] -0.07963674  0.77209084 -0.07963674 -0.23298702 -0.81726793
 [18,] -0.81726793 -0.23298702 -0.23298702 -1.01500872 -0.07963674
 [19,] -0.81726793 -1.01500872 -0.07963674 -0.81726793 -0.07963674
 [20,] -1.01500872 -0.07963674 -0.81726793  0.77209084 -1.01500872
 [21,] -1.01500872 -0.23298702 -0.81726793 -1.01500872 -0.81726793
 [22,] -0.23298702 -1.01500872 -0.81726793 -0.07963674 -0.81726793
 [23,] -0.07963674 -0.23298702 -0.23298702 -0.23298702 -1.01500872
 [24,]  0.77209084 -0.07963674 -0.23298702 -0.07963674 -1.01500872
 [25,] -0.07963674 -1.01500872 -0.23298702 -1.01500872 -0.07963674
 [26,] -0.23298702 -0.81726793 -1.01500872 -1.01500872 -0.81726793
 [27,] -1.01500872 -0.81726793  0.77209084 -0.07963674 -0.07963674
 [28,] -1.01500872 -0.07963674  0.77209084 -1.01500872 -1.01500872
 [29,]  0.77209084 -1.01500872 -0.81726793 -0.23298702 -0.07963674
 [30,] -0.23298702 -0.07963674  0.77209084 -1.01500872 -1.01500872
 [31,] -0.81726793  0.77209084 -0.23298702  0.77209084 -1.01500872
 [32,] -0.81726793 -0.07963674 -0.07963674 -0.07963674 -0.07963674
 [33,] -0.81726793 -1.01500872  0.77209084 -1.01500872  0.77209084
 [34,]  0.77209084 -0.07963674  0.77209084  0.77209084  0.77209084
 [35,] -0.07963674 -0.23298702 -0.23298702  0.77209084 -0.07963674
 [36,] -0.07963674 -0.81726793 -0.23298702 -0.07963674 -0.81726793
 [37,] -0.81726793 -0.07963674 -0.23298702 -1.01500872  0.77209084
 [38,]  0.77209084 -1.01500872 -0.07963674 -0.23298702 -0.81726793
 [39,] -0.81726793 -1.01500872 -0.81726793 -0.23298702 -0.23298702
 [40,]  0.77209084 -0.81726793 -0.81726793 -0.07963674 -1.01500872
 [41,] -0.07963674 -0.81726793  0.77209084 -0.07963674 -0.81726793
 [42,] -1.01500872 -1.01500872 -1.01500872 -0.23298702 -0.23298702
 [43,] -0.07963674 -1.01500872  0.77209084 -0.23298702 -0.07963674
 [44,] -0.23298702 -1.01500872 -0.23298702 -1.01500872  0.77209084
 [45,] -1.01500872 -0.23298702 -0.81726793 -0.81726793  0.77209084
 [46,] -0.07963674 -0.81726793  0.77209084 -0.07963674 -1.01500872
 [47,] -0.07963674 -1.01500872 -0.81726793  0.77209084 -0.07963674
 [48,] -0.07963674 -1.01500872 -0.81726793 -0.23298702 -0.81726793
 [49,]  0.77209084 -0.23298702 -1.01500872 -1.01500872  0.77209084
 [50,] -0.23298702  0.77209084  0.77209084 -1.01500872 -0.23298702
 [51,] -0.23298702 -0.07963674 -0.07963674  0.77209084 -1.01500872
 [52,] -0.07963674 -0.07963674 -0.23298702 -1.01500872 -1.01500872
 [53,] -0.07963674  0.77209084  0.77209084 -0.23298702 -0.07963674
 [54,] -0.23298702  0.77209084 -0.23298702 -0.23298702 -1.01500872
 [55,] -0.81726793 -0.23298702 -1.01500872 -1.01500872 -0.81726793
 [56,] -0.23298702 -0.81726793 -1.01500872  0.77209084  0.77209084
 [57,] -1.01500872  0.77209084 -0.81726793 -0.81726793 -1.01500872
 [58,] -1.01500872 -0.23298702 -0.81726793 -0.23298702 -0.81726793
 [59,] -0.23298702 -0.07963674 -1.01500872 -0.07963674 -0.07963674
 [60,]  0.77209084 -0.81726793 -0.81726793 -0.07963674 -1.01500872
 [61,] -0.07963674 -1.01500872  0.77209084 -0.07963674 -1.01500872
 [62,]  0.77209084  0.77209084 -1.01500872 -0.23298702 -0.07963674
 [63,]  0.77209084 -0.81726793  0.77209084 -0.07963674 -0.81726793
 [64,] -1.01500872 -0.81726793 -0.81726793 -1.01500872 -0.81726793
 [65,] -0.23298702 -1.01500872 -0.23298702 -0.07963674 -0.23298702
 [66,] -0.23298702 -0.81726793 -0.23298702 -1.01500872 -0.81726793
 [67,]  0.77209084 -1.01500872 -0.23298702 -1.01500872 -0.23298702
 [68,] -0.07963674 -0.07963674 -0.23298702 -0.81726793 -1.01500872
 [69,] -0.81726793 -0.07963674 -0.81726793 -0.07963674 -0.23298702
 [70,]  0.77209084 -0.23298702 -0.81726793 -0.07963674 -0.81726793
 [71,] -0.07963674 -0.23298702 -0.23298702 -0.81726793  0.77209084
 [72,] -0.07963674 -0.23298702 -1.01500872  0.77209084 -1.01500872
 [73,] -0.81726793 -0.81726793 -0.23298702 -0.07963674 -0.23298702
 [74,] -0.07963674 -0.07963674 -0.07963674 -1.01500872 -0.23298702
 [75,] -1.01500872 -0.07963674 -1.01500872 -1.01500872  0.77209084
 [76,] -1.01500872  0.77209084 -0.07963674 -0.81726793  0.77209084
 [77,] -0.07963674  0.77209084 -0.23298702 -0.81726793 -0.07963674
 [78,] -0.81726793 -0.81726793 -1.01500872 -0.23298702 -0.81726793
 [79,] -0.07963674  0.77209084 -0.07963674 -0.07963674  0.77209084
 [80,] -0.23298702 -0.23298702 -0.81726793 -1.01500872 -1.01500872
 [81,] -0.07963674 -0.23298702 -0.07963674 -1.01500872  0.77209084
 [82,] -0.23298702 -1.01500872 -0.23298702  0.77209084  0.77209084
 [83,]  0.77209084 -0.81726793 -0.81726793  0.77209084  0.77209084
 [84,] -1.01500872 -1.01500872  0.77209084 -1.01500872 -1.01500872
 [85,] -0.07963674  0.77209084 -0.23298702 -1.01500872 -0.23298702
 [86,] -1.01500872 -0.81726793 -0.81726793  0.77209084 -1.01500872
 [87,] -0.23298702  0.77209084 -1.01500872 -0.07963674 -0.07963674
 [88,]  0.77209084 -0.23298702 -0.23298702 -0.23298702 -1.01500872
 [89,] -1.01500872  0.77209084  0.77209084  0.77209084 -1.01500872
 [90,] -0.23298702  0.77209084 -0.81726793  0.77209084 -0.81726793
 [91,]  0.77209084 -0.07963674 -0.07963674 -1.01500872  0.77209084
